Która spośród wymienionych drużyn nie wygrała nigdy Ligi Mistrzów?;PSG;Celtic F.C.;Aston Villa;Steaua Bukareszt
Która drużyna najwięcej razy przegrywała finał Ligi Mistrzów?;Juventus;Bayern;AC Milan;Liverpool
W którym sezonie rozegrano pierwszą Ligę Mistrzów?;1955/56;1950/51;1954/55;1952/53
Który z tych piłkarzy nigdy nie wygrał Ligi Mistrzów?;Ronaldo Nazario;Andrea Pirlo;Steven Gerrard;Kaka
Który z brytyjskich klubów jako pierwszy zdobył LM?;Celtic;Man. Utd.;Liverpool;Chelsea
Kto wygrał LM 2019/20?;Bayern;Real;Liverpool;Tottenham
Kto wygrał LM 2020/21?;Chelsea;Real;Bayern;Tottenham
Gdzie został rozegrany finał LM 2022/23?;Stambuł;Paryż;Monachium;Lizbona
Ile razy rozgrywki Ligi Mistrzów wygrywał Ajax?;4;3;2;1
Ile razy rozgrywki Ligi Mistrzów wygrywał AC Milan?;7;6;5;4
W sezonie 22/23 Rangersi osiągnęli najgorszy bilans bramkowy w historii LM. Ile on wynosił?;-20;-15;-19;-22
Który piłkarz rozegrał najwięcej minut w historii LM?;Iker Casillas;Cristiano Ronaldo;Leo Messi;Raul
Najwięcej czerwonych kartek w historii LM (4) mają: Davids, Ramos oraz;Ibrahimović;Vidal;Pique;Maldini
Ile punktów w sezonie LM 22/23 zdobyła Kopenhaga?;3;1;0;4
Bez punktów fazę grupową LM 22/23 zakończyli Rangersi oraz:;Victoria Pilzno;FC Kopenhaga;Maccabi;Celtic
Na jakim etapie rozgrywki LM 21/22 zakończył Villarreal?;1/2;1/4;1/8;Faza grupowa
Na jakim etapie rozgrywki LM 21/22 zakończyło PSG?;1/8;1/4;1/2;Faza grupowa
Gdzie odbył się finał LM 21/22?;Paryż;Madryt;Rzym;Monachium
Jakim wynikiem zakończył się finał LM 21/22 Real-Liverpool?;1:0;2:1;3:1;2:0
O której godzinie rozpoczął się finał LM 21/22?;21:36;21:00;21:15;21:30
Który klub wygrał Ligę Mistrzów UEFA w sezonie 2014/2015?;FC Barcelona;Real Madryt;Bayern;Chelsea
Który piłkarz zdobył najszybszego hat-tricka w historii Ligi Mistrzów UEFA?;Bafétimbi Gomis;Cristiano Ronaldo;Lionel Messi;Robert Lewandowski
Kto jest najmłodszym strzelcem w historii Ligi Mistrzów?;Ansu Fati;Mateo Kovacic;Jude Bellingham;Jamal Musiala
Który bramkarz obronił najwięcej rzutów karnych w historii Ligi Mistrzów UEFA?;Jens Lehmann;Manuel Neuer;Iker Casillas;Gianluigi Buffon
Który piłkarz zdobył 5 bramek w jednym meczu Ligi Mistrzów UEFA jako pierwszy?;Leo Messi;Adriano;Haaland;Cristiano Ronaldo
Który piłkarz zaliczył najwięcej asyst w jednym sezonie LM (8)?;Neymar;Lionel Messi;Kevin De Bruyne;Xavi Hernandez
Który piłkarz zdobył bramkę w finale Ligi Mistrzów UEFA dla dwóch różnych klubów?;Samuel Eto'o;Cristiano Ronaldo;Alvaro Morata;Mario Balotelli
Który piłkarz rozegrał najwięcej finałów LM?;Paolo Maldini;Cristiano Ronaldo;Luka Modric;Alfredo di Stéfano
Który z wymienionych ma najwięcej bramek w LM?;Thomas Muller;Zlatan Ibrahimović;Neymar;Sergio Aguero
Który z wymienionych ma najwięcej bramek w LM?;Robert Lewandowski;Karim Benzema;Raul;Ruud van Nistelrooy
Który klub zdobył tytuł Ligi Mistrzów UEFA grając w finale na swoim stadionie?;Real Madryt;Liverpool FC;Manchester United;FC Barcelona
Który klub zdołał wygrać najwięcej meczów z rzędu w rozgrywkach Ligi Mistrzów UEFA?;FC Barcelona;Real Madryt;Manchester United;AC Milan
Który klub zdołał awansować do finału Ligi Mistrzów UEFA, nie wygrywając ani jednego meczu w fazie grupowej?;Liverpool FC;Manchester United;Real Madryt;AC Milan
Który zawodnik zdobył najszybszą bramkę w historii Ligi Mistrzów UEFA?;Roy Makaay;Gilberto Silva;Alessandro Del Piero;Clarence Seedorf
Jakim wynikiem zakończył się finał LM 2022/23 Manchester City - Inter Mediolan?;1:0;2:1;2:0;0:1
