W którym roku ostatni Puchar Polski zdobył Lech Poznań?;2009;2010;2015;2016
Ile Pucharów Polski w całej swojej historii zdobył Lech Poznań?;5;6;8;9
Z którego klubu do Lecha Poznań trafił w 2008 Robert Lewandowski?;Znicz Pruszków;Legia II;Znicz Warszawa;Polonia Warszawa
W którym roku Polska wygrała na IO w piłce nożnej?;1972;1976;1968;1992
Jaki wynik osiągnęła Polska w piłce nożnej na IO 1992?;Srebrny medal;Złoty medal;Brązowy medal;4.miejsce
Ile punktów Polska zdobyła na Euro 2012?;2;1;3;4
Najniższe miejsce Polski w historii rankingu FIFA:;78.;76.;68.;74. 
Najwyższe miejsce Polski w historii rankingu FIFA:;5.;1.;7.;3.
W którym roku Polska rozegrała pierwszy oficjalny mecz?;1921;1919;1924;1920
Ile medali olimpijskich zdobyła Polska w piłce nożnej?;Trzy;Dwa;Jeden;Zero
Kto był najstarszym graczem w historii polskiej kadry?;Jerzy Dudek;Grzegorz Lato;Lucjan Brychczy;Artur Boruc
Z kim najwięcej meczów zagrała Polska?;Rumunia;Węgry;ZSRR;Niemcy
Kto jest najstarszym strzelcem w historii polskiej kadry?;Lucjan Brychczy;Grzegorz Lato;Kazimierz Deyna;Andrzej Szarmach
Najwyższa porażka w historii naszej reprezentacji to:;0:8;0:7;1:6;2:9
Najwyższa wygrana w historii naszej reprezentacji to:;10:0;6:1;8:2;8:0
Ile Złotych Butów zdobył Robert Lewandowski?;2;0;1;3
W którym roku założono Lecha Poznań?;1922;1919;1947;1946
Jaki jest najstarszy istniejący polski klub?;Cracovia;Legia Warszawa;Lech Poznań;Wisła Kraków
Ile Mistrzostw Polski zdobyła Warta Poznań?;2;0;1;4
Najwyższej zwycięstwo w historii Ekstraklasy to:;15:0;10:0;13:1;9:1
Kto prowadził polskę reprezentację podczas MŚ 2006?;Paweł Janas;Leo Beenhakker;Zbigniew Boniek;Franciszek Smuda
Kto prowadził polskę reprezentację podczas Euro 2012?;Franciszek Smuda;Leo Beenhakker;Adam Nawałka;Waldemar Fornalik
